"text","hate","hatespeech_G1","annotator_G1","hatespeech_G2","annotator_G2","hatespeech_G3","annotator_G3"
"@_NandaSilva_ bom dia sapatao da minha vida","1","1","A","1","Dani","1","C"
"@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33","0","1","A","0","Dani","0","C"
"@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem","1","1","B","1","I","1","B"
"@_TheEarlyBird @JOAQUINVOLTOU e que tal uma linha de bonés??  https://t.co/iHrd5qTIH6","0","0","A","0","It","0","A"
"[9/3 09:11] jhu : Bom viado mais lindo
[9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza","1","1","A","1","It","0","D"
"[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE","0","1","A","0","V","0","E"
"[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro https://t.co/1PUC6Uj0gc","1","1","D","0","I","1","B"
"[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. https://t.co/xLvxIyGJ8I","0","1","A","0","B","0","A"
"[FUTEBOL]
Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo https://t.co/7JnhURaOPd","0","0","A","0","I","0","C"
"18:40] Max: Vai tomar no teu cu então
18:40] Max: Sua gorda feia
18:40] Max  :Meu amor por você
18:41] Leticia: Eu sou gorda Maxwell?","1","1","E","1","V","1","C"
"Ê lá em casa https://t.co/rAHYwfvkAx","0","0","B","0","I","0","E"
"@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...","1","1","E","1","V","1","B"
"aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir","0","0","B","1","It","0","A"
"Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim","1","1","A","1","Dani","0","A"
"A afronta aos portugueses não pára!
https://t.co/mGEV4CjFRP#RenovarPortugal #PNR #Portugal #Imigração https://t.co/26j98jdIYH","0","0","B","0","B","0","A"
"A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para... https://t.co/DleQjLxvym","0","0","A","0","B","0","D"
"A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica. 
https://t.co/uG82badvys","1","0","B","1","V","1","E"
"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.
O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas","0","0","E","0","B","0","E"
"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ https://t.co/cyd14kyXY0","0","0","C","0","B","0","C"
"A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _ https://t.co/b3WqRv4cww","1","1","B","1","I","1","D"
"@aapbatista 
Ora bem... já está a perder a linha. O verniz dos 'tolerantes' acaba sempre por estalar.","1","1","B","1","Dani","0","A"
"A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd","0","1","C","0","V","0","E"
"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa
#Oscars","1","1","E","1","S","0","B"
"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.","0","0","A","1","Dani","0","A"
"A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!...","1","1","D","1","It","0","D"
"abdnsndnns ela vai sair de burca pra não mostrar a cara, não quero ninguém encima dela https://t.co/dpXDrPu39E","1","1","D","1","S","0","C"
"Aberração é um adulto impor às crianças a flácida relação da ideologia de gênero: Nada é o q parece ser. #nãoàideologiadegênero","1","1","D","1","It","0","C"
"Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco https://t.co/q2WbjEvwap","0","0","A","0","S","0","A"
"Abismo da desigualdade e injustiça. @jpintocoelho60 https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal","0","0","A","0","S","0","E"
"A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas.","0","1","D","0","I","0","D"
"Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H","0","1","A","0","B","0","D"
"abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela","1","1","D","1","V","1","C"
"@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí)","0","0","D","0","S","0","D"
"A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir","1","1","B","1","It","1","A"
"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:
Pedro Gonga: Já Estou em Liberdade, mas não foi... https://t.co/fkAShQaBVa","0","0","C","0","It","0","A"
"Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':
11 Fev -  Covilhã.
Bilhetes aqui:
https://t.co/NeiqhncuJp","0","0","C","0","B","1","B"
"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM","0","0","D","0","V","0","D"
"Acabei de comemorar o dia Internacional da Mulher... lavando a louça!
#DiadaMulher","0","0","E","1","B","0","A"
"Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV","0","0","A","0","B","0","D"
"Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.
O cliché morreu hj às 16h09","1","1","A","0","B","1","A"
"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'","0","1","E","0","I","0","E"
"acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil","1","1","D","1","V","0","A"
"Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional. https://t.co/iEsaOS0yfG","0","0","B","0","V","0","A"
"A cada 'feliz dia da mulher menos pra feminista' eu vejo o quão burra é a sociedade","1","1","C","1","V","0","B"
"A cadeira com o copo certamente é do lula https://t.co/cNGQ6nRgYy","1","1","A","0","B","1","B"
"A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ","0","0","D","0","V","0","C"
"A campanha continua...#EducacaoSemIdeologiaDeGenero.
https://t.co/O6DVICQISp .Acesse e adquira dois livros de... https://t.co/0BvDHJMUm7","0","0","A","0","B","0","E"
"A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17","1","1","E","1","I","1","E"
"a cara da gorda feia da Roberta #bbb17","1","1","D","1","It","0","D"
"Acções do #PNR #Oeiras e #Cascais
https://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR","0","0","B","0","I","0","E"
"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral.","0","0","D","0","S","0","D"
"ACEITE OS CHIFRES
#JoaquinResponde https://t.co/2wOKNG11RS","0","1","A","0","V","0","A"
"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!
https://t.co/fdEjtgOx1P","0","1","E","0","I","0","E"
"Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _ https://t.co/QwuTyA0KWB","0","1","E","0","I","0","D"
"achei essa pagina https://t.co/yoVjMs2Zz0","0","0","A","0","S","0","A"
"Achei um cabelo branco, sinto que os anos de tintura estão chegando.","0","0","C","0","B","0","E"
"acho engraçado que vcs falam mal do Ustra mas idolatram Che","0","1","C","0","I","0","C"
"Acho irónico que uma mulher que ajudou a NASA a andar para a frente, esteja numa cadeira de rodas
#Oscars","1","1","A","1","V","0","D"
"Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'
#Oscars","0","1","D","0","Dani","0","A"
"Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher","0","1","C","0","I","0","E"
"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc","1","1","D","1","Dani","1","A"
"Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando","0","1","E","0","I","0","E"
"Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó.... https://t.co/gt6t4iRyYv","0","1","C","0","I","0","B"
"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...","0","0","E","0","I","0","D"
"acho que a Simone depende mais do natal pra sobreviver que o Papai Noel","1","1","E","1","It","1","B"
"Acho que a veja aceitou que realmente não faz jornalismo https://t.co/x6gmv70CuS","0","0","D","0","Dani","0","A"
"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta","0","0","E","0","B","0","C"
"acho que nem vou gozar mais até #ESeFosseConsigo","0","1","A","0","It","0","E"
"acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo","0","1","B","0","B","0","E"
"Acho que tatuagem colorida só fica bonito em gente muito branca!!!","0","0","E","0","B","0","E"
"Acho que vou... ai que preguiça de dormir... xerus!","0","0","A","0","Dani","0","B"
"Acho que vou pegar carona com a @agdabritto e mimir","0","0","A","0","I","0","D"
"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls","1","1","B","1","V","0","D"
"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _ https://t.co/c3bWKt8lEx","0","1","D","0","It","0","E"
"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _ https://t.co/dPMZ8ppmrP","0","0","E","0","V","0","D"
"A @cidade e a @sicradical são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _ https://t.co/DlkMFBCSk3","0","0","B","0","V","1","B"
"Acima de tudo, uma vitória esmagadora da classe https://t.co/s9lvC87ILS","0","0","E","0","B","0","B"
"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)","0","0","C","0","I","0","B"
"A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb","1","1","D","1","It","1","A"
"A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber... https://t.co/8h6HFv3dIj","0","0","A","0","I","0","D"
"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País. https://t.co/9ge0LwyJZg","0","0","B","0","It","0","A"
"Acorda pra trabalhar ae cambada de vagabundo","1","1","D","0","B","1","C"
"Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus. https://t.co/PqDNEmYu1J","0","1","B","0","Dani","0","B"
"@AcordouAcordou quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _ https://t.co/4uh8VS30YN","1","1","E","1","I","0","D"
"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv","0","1","A","0","Dani","0","E"
"a cota de negro aumentou nesse BBB né","1","1","A","1","It","0","A"
"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo","1","1","C","1","I","0","C"
"Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk","0","0","C","0","V","0","A"
"A @crfjaque prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _ https://t.co/W67nzOsYsn","1","1","E","1","S","0","A"
"A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia? https://t.co/zQowSdLe9r","1","1","E","1","It","0","E"
"ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE https://t.co/JdCLqC5zmY","1","0","C","1","Dani","1","E"
"a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma","0","1","B","0","V","0","D"
"A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8","0","1","C","0","I","0","C"
"A culpa é de não ter tirado antes","0","1","E","0","B","0","A"
"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.
Ata. https://t.co/4jdeA8hRcO","0","0","C","0","B","0","A"
"@AdemirAlvim eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!","1","1","A","1","It","0","D"
"@AdemirAlvim vdd... nem conheci mas já dei block.... 
pessoa assim quero longe","0","0","B","0","It","0","A"
"Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y","0","0","E","0","S","0","C"
"Adeus #Obama! 
'Faça boa viagem!'. https://t.co/B0CASUcZtH","0","1","E","0","B","0","D"
"Adicionei um vídeo a uma lista de reprodução do @YouTube https://t.co/tUcZqbRpPN Angola & China vs EUA (A verdade que você não","0","0","B","0","I","0","A"
"Adicionei um vídeo a uma playlist @YouTube https://t.co/7hLCvlxwOz 'Islão não é para mim'","1","1","D","1","It","0","C"
"A diferença de quem tem vergonha na cara vs vagabundo https://t.co/mi282DMTSe","0","1","B","0","B","0","B"
"A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar...","0","1","B","0","V","0","C"
"@adiosiago @amandassini eu acho o msm sobre vc branquelo","1","1","E","1","V","1","A"
"@adiosiago @amandassini quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil","1","1","B","1","B","0","E"
"@adiosiago @amandassini vc quer q eu te chame de q? palmito?","0","0","C","1","S","0","C"
"Adivinha qual a esquerda demoniza e qual a esquerda apoia? https://t.co/lmknzzuwLo","0","0","A","0","S","0","E"
"adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio","0","1","B","0","B","0","C"
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.","0","0","E","0","B","0","B"
"Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs...","0","0","D","0","V","0","C"
"Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência","1","1","D","1","It","0","E"
"ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas... https://t.co/emXSsysshG","0","0","C","0","V","0","C"
"Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday","0","1","D","0","B","0","C"
"Advogado e Deputado? Não pode ser!
https://t.co/UxhKlE2Ks0#PNR #RenovarPortugal #Portugal","0","1","D","0","B","0","C"
"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador... https://t.co/O9WcUD3wU4","0","1","A","0","B","0","C"
"A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !","0","0","B","0","V","0","A"
"#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D","0","1","C","0","B","0","A"
"aeeeee dilma caiu
ja posso viajar pra miami agora?","0","1","D","0","V","0","C"
"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal
#Oscars","0","0","E","0","It","0","D"
"A entrevista mais longa do Super Bowl com @oreillyfactor hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se! https://t.co/2wVSIjP7oI","0","0","A","0","B","0","A"
"A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO","1","1","E","1","Dani","0","C"
"Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...","0","1","C","0","S","0","A"
"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _ https://t.co/g2rItoeyTF","1","1","B","0","V","1","A"
"A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _ https://t.co/d44ggIe2zI","1","1","A","1","It","0","C"
"A Esquerda é o próprio Zumbi dos Palmares:
Quer libertar os negros de uma escravidão pra escraviza-los em outra https://t.co/c1XOaNIPmI","1","1","A","1","It","0","C"
"A esquerda está morrendo de um Câncer terminal https://t.co/qcH8FkSNKh","1","1","E","1","It","0","E"
"A esquerda fala muito sobre essas rebeliões e justificam a 'superlotação', mas não fala do motivo que fizeram eles irem pras prisões.","0","1","A","0","V","0","E"
"A esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema ...","0","1","B","0","V","0","D"
"A esquerda filha da puta como sempre https://t.co/CbHw2V9dOB","1","1","E","1","Dani","1","D"
"A esquerda gosta de viver na sujeira, gosta do feio e idolatra a burrice. Pichação não é arte, é coisa de vagabundo _ https://t.co/pRkOnzBSTQ","0","1","E","0","I","0","D"
"A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _ https://t.co/v9m5h7Gc6z","0","1","C","0","It","0","D"
"A esquerdalha #comunista e #anarquista sempre foi, é, e será uma escumalha selvagem, carregada de ódio e violência _ https://t.co/AwYQKfgj35","0","1","A","0","B","0","C"
"A esquerdalha (protegida pelo sistema e pelos media), no seu melhor, a mostrar a tolerância que defende.
#Nantes _ https://t.co/tMqoRAsR5x","1","1","C","1","It","0","C"
"A esquerda reclama das coisas inventadas pela própria esquerda:
Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes.","0","1","D","0","B","0","B"
"A  ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.
Felicito o _ https://t.co/Y7oD6CcInV","0","0","C","0","V","0","B"
"A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _ https://t.co/BIAymMELN1","1","1","C","1","S","0","D"
"A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer","1","1","B","1","I","1","D"
"6a feira é dia de 'Overdose de Tourette'.
E hoje a caravana pára na ERICEIRA.
Auditório Jaime Lobo e Silva, 22h.
Is _ https://t.co/CrTfw7LA9h","0","1","A","0","B","0","D"
"A feminazi @lolaescreva tem a cara de pau de pedir dinheiro em seu blog - mesmo ganhando uma boquinha de 11 mil - v _ https://t.co/XH24MvyqxB","1","1","A","1","S","1","C"
"a feminista pode até dar a alma dela no primeiro encontro, mas por favor  #usecamisinha , seja uma puta consciente!","1","1","A","1","I","1","A"
"A @FernandaLimaBah e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa. 
Até pq ela certamente...","0","0","E","1","S","0","E"
"A Festa do Branco é um evento que promete marcar  o Cruzeiro Diamantes 2017. Aqui estão algumas inspirações: _ https://t.co/sZyln0lwQt","0","0","E","0","I","0","A"
"Afffffff só por Deus eu te que fica olhando a funça da atual dá minha ex","1","1","B","1","I","0","A"
"Afff... N te dou mais nada http://t.co/hyBYnjtrab","0","0","B","0","I","0","D"
"aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara","1","1","B","1","Dani","0","D"
"Aff só por que não tem negro no oscar agora eles sao racista........ pfvr miga melhore","0","1","D","0","It","0","D"
"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada?
https://t.co/JuaODQaZmS","1","1","E","0","It","1","B"
"afinal, a privatização do ensino médio/superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país","1","1","D","1","V","1","B"
"AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO... https://t.co/wPxhSyvGDK","0","0","B","1","It","0","A"
"A força do sonho @jpintocoelho60 
https://t.co/4jGTaKM9gQ","0","0","E","0","I","0","D"
"A forma como você se vê não altera o que você é de fato! https://t.co/F1vbtmfKGs","0","1","E","0","I","0","B"
"@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne","0","0","C","0","V","0","A"
"@agdabritto Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue","0","0","C","1","V","0","A"
"@agdabritto ooowwww, amorrr, ja chegou???","0","0","E","0","V","0","A"
"@agdabritto Quero saber tudooo como foi o diaaaa!","0","0","A","0","B","0","C"
"@agdabritto Sei lá, inventei agora.. #catita hahaha","0","0","B","0","I","0","E"
"@Agenda #Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO. https://t.co/9FWPfwGNRv","0","0","C","0","It","1","B"
"Agenda actualizada para os próximos meses:
https://t.co/vvezwg8Gx2","0","0","B","0","It","0","E"
"#Agenda 11,12 e13 de Março/SP. #CongressoEvangelizarKids Informações:
Igreja Batista do Povo, _ https://t.co/vpReD2R1W1","0","0","E","0","V","0","C"
"#AgendaMaio  Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão https://t.co/6dWIFPYWkN","0","0","E","0","V","0","E"
"#Agenda Março 18 e 19.
 Simpósio sobre Ideologia de Gênero.","0","0","D","0","V","0","C"
"Agenda Março . Ideologia de Gênero. https://t.co/vhpKZjqQJD","1","1","E","0","S","1","B"
"Agenda para os próximos tempos.
Bilhetes na FNAC e Ticketline https://t.co/IBtRKfrgJD","0","0","D","0","I","0","E"
"Agenda #SãoPaulo 11/03. Congresso Evangelizar KIDS. Igreja Batista do Povo. https://t.co/4nSFGR5Fal","0","0","A","0","I","0","A"
"Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.","0","0","A","0","B","0","B"
"Agende seminário ou palestras para liderança, jovens e igreja geral sobre Ideologia de Gênero. 
Com 5 livros... https://t.co/XmSL8gDa8l","0","1","C","0","B","0","B"
"a gente mulher e um ser humano mais burra acreditar que ainda possa.  ter amor verdadeiro","0","1","C","0","B","0","C"
"a gente nao sabe se a mulher ta feliz de burca, nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc","0","0","B","0","I","0","A"
"@AgenteRusso o cara que escolhe foto é muito fanfarrão","0","1","C","0","V","0","E"
"A @gleisi fazer greve...não trabalhar..É um alívio para o BRASIL... já que ela só faz atrapalhar o país mesmo. Devo _ https://t.co/EzKOlbn8YF","1","1","C","0","B","1","E"
"A globo mentiu para o futebol feminino. E a mulherada, como sempre iludida, acredita. Tudo normal","1","1","D","1","S","1","B"
"A #globo só mostra as 'belezas e o amor' do carnaval.Mas, se quer saber a verdade, liga na @recordtvoficial que está mostrando tda Violência","0","1","A","0","V","0","D"
"A Gloria Alvarez arrebenta!
O discurso dela na CPAC 2016 foi sensacional! 
https://t.co/FVD2M4GBye","0","0","B","0","V","0","A"
"@agnaldoregojr 
2) O fato de o cidadão de bem passar a portar uma arma não o transformará em bandido.
Crime é questão de índole!","0","0","E","1","S","0","A"
"Agora deu 'tilt' no @Ricamconsult , a AMEBA que teve a cara de pau de comparar Trump com Hugo Chavez. https://t.co/G24QMKa7Be","1","1","C","0","B","1","B"
"agora é oficial: os dinossauros estão extintos","0","0","A","0","Dani","0","E"
"Agora é só umas gordas feias pra caralho","1","1","E","1","I","1","C"
"Agora não entendo mais nada branco não pode namorar com negra ? Ue ? Mais vão termina o colégio e pega uma vaga no Mac!!! Valeu","1","1","B","1","V","0","B"
"Agora os novos refugiados já não são por causa da guerra, são até chamados 'refugiados económicos ', como sempre foram, não fugiram de nada","0","1","A","0","B","0","C"
"Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol","1","1","D","1","B","0","E"
"agora que a dilma vai sair quem assume é o aécio né??","0","1","D","0","I","0","D"
"... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!","1","1","E","0","B","1","E"
"agora sim esse latinos imundos vão parar de tentar entrar nos EUA #Trump","1","1","A","1","S","1","D"
"Agora sim está correto @pecesiqueira abraço #paz https://t.co/DUoMBeWwqu","0","0","A","0","It","0","D"
"AGORA SIM EU ASSUMO http://t.co/UzOwKrxdOy","0","1","A","0","I","0","A"
"Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE","0","1","D","0","S","0","A"
"Agora sim LISBOA, estamos prontos para começar https://t.co/JJdLm8R2oO","0","0","A","0","I","0","E"
"Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN @AbrahoCavalcant.","0","1","E","0","S","0","E"
"agora tudo é apropriação cultural não pode nem usar turbante mais","0","0","E","0","I","0","A"
"agora tudo faz sentido https://t.co/gAkF8IbNea","0","0","C","0","Dani","0","A"
"Agora vc pensa: Uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho? Um absurdo.","1","1","A","1","V","0","C"
